RSRP,RSRQ,Azimuth,Dis_Serving,RS SINR Carrier 1
-99.90000153,-16.5,208.4988479,0.579518097,-0.400000006
-99.80000305,-15.5,216.2829605,0.644154754,1.399999976
-97.0,-13.89999962,217.4936818,0.650558472,2.0
-93.90000153,-12.30000019,218.6300206,0.658179411,3.5
-90.59999847,-12.0,219.7786358,0.666552163,4.300000191
-91.80000305,-15.30000019,220.8864602,0.67467828,3.799999952
-87.40000153,-14.30000019,38.25519135,0.159963289,1.700000048
-93.59999847,-16.79999924,34.18030871,0.159956601,-2.0
-89.59999847,-15.69999981,30.79052528,0.165525959,1.0
-86.59999847,-13.60000038,28.24975488,0.173388353,3.200000048
-97.0,-18.10000038,26.57510084,0.184730771,0.699999988
-99.69999695,-17.70000076,225.7002102,0.652653504,-5.400000095
